country_name,import_value,gdp_usd,inflation,current_account_pct_gdp,import_pct_gdp,trade_risk_score,exposure_inflation_corr,risk_band
Germany,22608756759,4.42984E+12,6.324,5.996,0.51,1.42,0.460981404,High Risk
France,7093539290,3.04902E+12,5.634,-1.23,0.23,0.76,0.460981404,High Risk
Italy,3409170181,2.18608E+12,5.986,0.698,0.16,0.48,0.460981404,Moderate
France,2276540633,3.04902E+12,5.634,-1.23,0.07,0.21,0.460981404,Moderate
United States,22165857125,2.69496E+13,4.084,-2.951,0.08,-0.01,0.460981404,Moderate
Italy,259327640.7,2.18608E+12,5.986,0.698,0.01,-0.03,0.460981404,Moderate
United States,1685497033,2.69496E+13,4.084,-2.951,0.01,-0.25,0.460981404,Moderate
Germany,517061173.2,4.42984E+12,6.324,5.996,0.01,-0.29,0.460981404,Moderate
Canada,1290365021,2.11781E+12,3.622,-0.989,0.06,-0.32,0.460981404,Moderate
Canada,61880336.96,2.11781E+12,3.622,-0.989,0,-0.52,0.460981404,Low Risk
Japan,3923484403,4.23086E+12,3.214,3.337,0.09,-0.58,0.460981404,Low Risk
Japan,253415648.2,4.23086E+12,3.214,3.337,0.01,-0.86,0.460981404,Low Risk
